id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price_clean,estimated_revenue_l365d,est_monthly_revenue,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,host_id,host_is_superhost,host_years,amenities_count,neighbourhood_listing_count,competition_level,quality_index
1153593716539156244,Cozy Private Room Boston near T- JFK/UMass,Dorchester,42.315307310963455,-71.06243050526253,Private room in condo,Private room,1,0.0,54.0,9828.0,819.0,182,1,0.13,5.0,84744174,t,9.186301369863013,60,572,High,2.5468792304578276
1155813091708329751,Furnished One bedroom + office,Charlestown,42.37710219377385,-71.05963438342549,Entire rental unit,Entire home/apt,2,0.0,131.0,0.0,0.0,0,0,,,209024699,f,7.120547945205479,7,83,Low,
1156624218560798027,W.R. Duplex apt flrs 2 and 3 sleeps 10 Boston,West Roxbury,42.27973875507627,-71.16085863782494,Entire rental unit,Entire home/apt,10,6.0,506.0,0.0,0.0,0,0,,,69267172,t,9.413698630136986,53,83,Low,
1159688274863226296,"SeaCorner Boston – Walk to T, 5 Min to Airport",East Boston,42.38606,-71.00721,Entire rental unit,Entire home/apt,8,4.0,371.0,21518.0,1793.1666666666667,58,8,0.53,5.0,245199133,t,6.583561643835616,45,229,Low,1.452389197558508
1160243593042473259,Downtown Lux Apt. Stunning View | 2 Beds+2 Baths,Downtown,42.35404,-71.06295,Entire condo,Entire home/apt,4,3.0,342.0,87210.0,7267.5,255,2,0.17,4.5,578474534,f,1.3506849315068492,34,376,High,-0.5743433806483558
1160508336158217903,Fully Renovated 3 Bed Apartment. BU | BC | Harvard,Allston,42.35707968357052,-71.1375612816063,Entire rental unit,Entire home/apt,6,3.0,245.0,39690.0,3307.5,162,30,2.4,4.83,341982890,t,5.52054794520548,39,178,Low,0.5983969560113436
1160776285181065315,"Blueground | Longwood, shared w/d, nr bars & food",Mission Hill,42.3347357,-71.1018627,Entire rental unit,Entire home/apt,2,1.0,205.0,0.0,0.0,0,0,,,107434423,f,8.775342465753425,30,78,Low,
1161669854998140409,"(476-1) 1st Floor, Roof Deck, Views, A+ Location!",South End,42.34365,-71.0773,Entire rental unit,Entire home/apt,4,2.0,322.0,69552.0,5796.0,216,49,3.24,4.69,563246552,t,1.5917808219178082,44,291,Medium,0.6204771318351895
1161877346882286397,"3BR Gem | Skyline Views, Laundry & Central Air",Dorchester,42.29381182210992,-71.05483964803148,Entire rental unit,Entire home/apt,8,3.0,240.0,0.0,0.0,0,4,0.25,4.75,89227862,f,9.126027397260273,47,572,High,0.9862679249047359
1161890032588053863,Cozy 1 Bed Near Boston Medical,South End,42.33879071981539,-71.07193168859966,Entire rental unit,Entire home/apt,2,1.0,251.0,0.0,0.0,0,0,,,89227862,f,9.128767123287671,48,291,Medium,
1162030325793313072,Alaska Street R40,Roxbury,42.31977,-71.07991,Private room in home,Private room,1,1.0,68.0,3672.0,306.0,54,14,0.88,4.36,216849347,unknown,7.005479452054795,9,295,Medium,-2.7412432706231495
1164012463181519950,Bright Brownstone w Terrace+View,Roxbury,42.32423627823077,-71.09105080649816,Entire rental unit,Entire home/apt,6,3.0,237.0,60435.0,5036.25,255,83,5.26,4.94,62983081,t,9.534246575342467,59,295,Medium,2.327020441774857
